HH Income,Home Ownership,Ethnicity,dummy for Children,Year Of Residence,Age range,Language,City,County,Zip Code,weekly fee,Deliveryperiod,Nielsen Prizm,reward program,Source Channel,target
"$  40,000 - $49,999",RENTER,Arab,N,6,50-54,Arabic,TUSTIN,ORANGE,92780,$0 - $0.01,SunOnly,FE,0,Partner,0
"$100,000 - $124,999",OWNER,Danish,N,11,45-49,English,COSTA MESA,ORANGE,92627,$3.00 - $3.99,7Day,FM,0,Kiosk,0
"$100,000 - $124,999",RENTER,English,N,2,60-64,English,IRVINE,ORANGE,92613,$10.00 - $10.99,7Day,MW,2,CustCall,1
"$  40,000 - $49,999",OWNER,Hispanic,N,18,45-49,Spanish,SANTA ANA,ORANGE,92707,$0 - $0.01,SunOnly,FM,0,Partner,1
"$  70,000 - $79,999",RENTER,Hispanic,Y,11,40-44,English,GARDEN GROVE,ORANGE,92840,$2.00 - $2.99,Thu-Sun,YM,0,TeleIn,0
"$175,000 - $199,999",OWNER,English,N,3,75 years or more,English,WESTMINSTER,ORANGE,92679,$0.01 - $0.50,SunOnly,MM,0,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,1,40-44,Spanish,FULLERTON,ORANGE,92839,$0.01 - $0.50,SunOnly,FE,0,Crew1,1
"$  30,000 - $39,999",OWNER,English,N,3,35-39,English,GARDEN GROVE,ORANGE,92844,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$150,000 - $174,999",OWNER,Vietnamese,N,3,35-39,Vietnamese,FOUNTAIN VALLEY,ORANGE,92708,$2.00 - $2.99,7Day,FM,0,RetenIn,0
"$200,000 - $249,999",OWNER,Indian,Y,16,45-49,Hindi,MISSION VIEJO,ORANGE,92692,$1.00 - $1.99,SunOnly,MW,0,Partner,0
"Under $20,000",RENTER,Hispanic,N,1,30-34,Spanish,ANAHEIM,ORANGE,92802,$0 - $0.01,SunOnly,FE,0,Partner,0
"$300,000 - $399,999",OWNER,Scottish (Scotch),N,16,75 years or more,English,NEWPORT BEACH,ORANGE,92663,$4.00 - $4.99,7Day,MW,0,TeleIn,1
"$125,000 - $149,999",OWNER,Hispanic,Y,20,55-59,English,ALISO VIEJO,ORANGE,92654,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,Welsh,N,10,40-44,English,YORBA LINDA,ORANGE,92886,$3.00 - $3.99,SoooooS,FE,0,TeleOut,0
"Under $20,000",RENTER,Hispanic,N,1,24 years or less,English,SANTA ANA,ORANGE,92705,$2.00 - $2.99,SunOnly,ME,0,TeleIn,0
"$300,000 - $399,999",OWNER,English,N,13,60-64,English,MISSION VIEJO,ORANGE,92691,$7.00 - $7.99,7Day,MW,0,Internet,1
"$  40,000 - $49,999",RENTER,Hispanic,N,3,35-39,Spanish,COSTA MESA,ORANGE,92627,$2.00 - $2.99,SunOnly,YM,0,Crew,0
"$300,000 - $399,999",OWNER,English,Y,13,35-39,English,IRVINE,ORANGE,92620,$1.00 - $1.99,SunOnly,MW,0,Internet,0
"$  20,000 - $29,999",OWNER,Hispanic,Y,17,75 years or more,Spanish,SANTA ANA,ORANGE,92704,$4.00 - $4.99,7Day,ME,0,Crew,0
"$175,000 - $199,999",OWNER,Scottish (Scotch),N,2,35-39,English,CORONA,RIVERSIDE,92879,$0 - $0.01,SunOnly,MW,0,Partner,0
"$200,000 - $249,999",OWNER,unknown,Y,16,50-54,English,IRVINE,ORANGE,92606,$2.00 - $2.99,SunOnly,YM,0,Internet,0
"$100,000 - $124,999",OWNER,English,N,20,65-69,English,ORANGE,ORANGE,92867,$0.01 - $0.50,SunOnly,MM,0,Partner,1
"$125,000 - $149,999",OWNER,Welsh,N,4,45-49,English,ALISO VIEJO,ORANGE,92656,$0.01 - $0.50,SunOnly,YM,0,Partner,1
"$  30,000 - $39,999",OWNER,Hispanic,Y,12,45-49,Spanish,LA HABRA,ORANGE,90631,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$  70,000 - $79,999",OWNER,Italian,N,7,50-54,English,TUSTIN,ORANGE,92780,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"Under $20,000",OWNER,Hispanic,N,5,50-54,Spanish,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$  40,000 - $49,999",RENTER,Irish,N,1,25-29,English,SAN CLEMENTE,ORANGE,92672,$4.00 - $4.99,7Day,FE,0,TeleIn,0
"$  20,000 - $29,999",RENTER,Hispanic,N,1,25-29,English,STANTON,ORANGE,90680,$1.00 - $1.99,7Day,YM,0,Crew,0
"$  40,000 - $49,999",OWNER,Vietnamese,N,1,40-44,English,ANAHEIM,ORANGE,92805,$2.00 - $2.99,7Day,YM,0,Internet,0
"$125,000 - $149,999",OWNER,Hispanic,N,9,55-59,English,NEWPORT BEACH,ORANGE,92660,$0.01 - $0.50,SunOnly,YW,0,Partner,1
"$  30,000 - $39,999",OWNER,Austrian,N,22,75 years or more,English,SANTA ANA,ORANGE,92707,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  50,000 - $59,999",RENTER,Hispanic,Y,19,50-54,Spanish,LAGUNA HILLS,ORANGE,92653,$0.01 - $0.50,Thu-Sun,FE,0,Crew,0
"$  80,000 - $89,999",OWNER,multi-ethnic,N,37,75 years or more,English,NORCO,RIVERSIDE,92860,$0.01 - $0.50,SunOnly,MM,0,SCinsert,1
"$  20,000 - $29,999",RENTER,English,N,5,75 years or more,English,LAGUNA WOODS,ORANGE,92637,$6.00 - $6.99,7Day,ME,0,CustCall,1
"$300,000 - $399,999",OWNER,English,N,32,65-69,English,HUNTINGTON BEACH,ORANGE,92646,$3.00 - $3.99,SunOnly,MW,0,CustCall,0
"$175,000 - $199,999",OWNER,Italian,N,15,55-59,English,HUNTINGTON BEACH,ORANGE,92646,$0 - $0.01,SunOnly,MW,0,Partner,1
"$  80,000 - $89,999",OWNER,Hispanic,N,4,50-54,English,BUENA PARK,ORANGE,90620,$0.01 - $0.50,SunOnly,MM,0,Partner,0
"$  80,000 - $89,999",RENTER,Chinese,Y,7,30-34,Chinese,CORONA,RIVERSIDE,92879,$2.00 - $2.99,7Day,YM,0,Crew,0
"$  80,000 - $89,999",RENTER,Norwegian,N,9,35-39,English,HUNTINGTON BEACH,ORANGE,92646,$4.00 - $4.99,7Day,YM,0,Crew,0
"$  40,000 - $49,999",RENTER,Hispanic,N,31,55-59,Spanish,SANTA ANA,ORANGE,92704,$1.00 - $1.99,SoooTFS,FE,0,Crew,0
"$100,000 - $124,999",OWNER,French,N,36,65-69,English,FOUNTAIN VALLEY,ORANGE,92708,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  70,000 - $79,999",OWNER,Indian,N,13,60-64,Hindi,BUENA PARK,ORANGE,90620,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  30,000 - $39,999",OWNER,Jewish,N,16,75 years or more,English,IRVINE,ORANGE,92612,$2.00 - $2.99,7Day,MM,0,Email,0
"$300,000 - $399,999",OWNER,Hungarian,N,36,65-69,English,ANAHEIM,ORANGE,92806,$10.00 - $10.99,7Day,MW,4,TeleIn,1
"$100,000 - $124,999",OWNER,English,N,40,70-74,English,TUSTIN,ORANGE,92780,$5.00 - $5.99,7Day,MW,0,TeleIn,1
"$  70,000 - $79,999",OWNER,English,N,34,75 years or more,English,BREA,ORANGE,92821,$0.01 - $0.50,Thu-Sun,YW,0,TeleIn,1
"Under $20,000",RENTER,Hispanic,N,1,50-54,English,FULLERTON,ORANGE,92831,$1.00 - $1.99,SunOnly,FE,0,DirectMl,0
"Under $20,000",RENTER,German,N,1,70-74,English,SAN CLEMENTE,ORANGE,92672,$2.00 - $2.99,SatSun,MW,0,CustCall,0
"$  20,000 - $29,999",RENTER,Hispanic,N,5,25-29,Spanish,STANTON,ORANGE,90680,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"Under $20,000",OWNER,Hispanic,N,17,50-54,Spanish,SANTA ANA,ORANGE,92703,$2.00 - $2.99,7Day,FM,0,TeleIn,0
"$100,000 - $124,999",OWNER,Scottish (Scotch),Y,17,50-54,English,HUNTINGTON BEACH,ORANGE,92646,$4.00 - $4.99,7Day,MW,0,CustCall,0
"$  70,000 - $79,999",OWNER,Italian,N,2,35-39,English,GARDEN GROVE,ORANGE,92844,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  80,000 - $89,999",RENTER,Irish,N,4,70-74,English,LAGUNA WOODS,ORANGE,92637,$3.00 - $3.99,SooooFS,ME,0,TeleIn,0
"$100,000 - $124,999",OWNER,English,N,20,60-64,English,MISSION VIEJO,ORANGE,92691,$10.00 - $10.99,7Day,MW,4,CustCall,1
"Under $20,000",OWNER,Jewish,N,1,35-39,English,LONG BEACH,LOS ANGELES,90813,$0.01 - $0.50,Thu-Sun,FE,0,Crew,1
"$200,000 - $249,999",OWNER,English,Y,4,45-49,English,SANTA ANA,ORANGE,92705,$2.00 - $2.99,SunOnly,FW,0,CustCall,0
"$200,000 - $249,999",OWNER,German,N,46,75 years or more,English,MISSION VIEJO,ORANGE,92691,$3.00 - $3.99,Thu-Sun,MW,29,CustCall,0
"$  30,000 - $39,999",OWNER,Hispanic,N,7,30-34,English,HUNTINGTON BEACH,ORANGE,92649,$5.00 - $5.99,7Day,MW,3,TeleIn,0
"$  60,000 - $69,999",OWNER,Scottish (Scotch),N,5,40-44,English,LONG BEACH,LOS ANGELES,90808,$0 - $0.01,7DayOL,MW,0,CircAdm,0
"$100,000 - $124,999",OWNER,Persian,N,5,35-39,English,HUNTINGTON BEACH,ORANGE,92647,$1.00 - $1.99,SunOnly,MW,0,DirectMl,0
"$125,000 - $149,999",OWNER,English,N,14,70-74,English,HUNTINGTON BEACH,ORANGE,92647,$10.00 - $10.99,7Day,MW,0,CustCall,1
"Under $20,000",OWNER,English,N,9,75 years or more,English,SEAL BEACH,ORANGE,90740,$5.00 - $5.99,7Day,ME,0,CustCall,1
"$125,000 - $149,999",OWNER,Hispanic,N,18,45-49,Spanish,ANAHEIM,ORANGE,92804,$1.00 - $1.99,SunOnly,FM,0,SCinsert,0
"$100,000 - $124,999",OWNER,Hispanic,Y,14,45-49,English,CORONA,RIVERSIDE,92879,$0 - $0.01,SunOnly,FM,0,Partner,1
"Under $20,000",RENTER,English,N,2,75 years or more,English,ANAHEIM,ORANGE,92807,$8.00 - $8.99,7Day,MM,1,CustCall,1
"$125,000 - $149,999",OWNER,English,N,23,75 years or more,English,PLACENTIA,ORANGE,92870,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$300,000 - $399,999",OWNER,unknown,Y,13,50-54,English,MISSION VIEJO,ORANGE,92688,$2.00 - $2.99,SunOnly,MW,0,Email,1
"Under $20,000",RENTER,Jewish,N,1,60-64,English,ANAHEIM,ORANGE,92805,$0 - $0.01,Thu-Sun,ME,0,CircAdm,0
"$300,000 - $399,999",OWNER,English,N,23,75 years or more,English,LAGUNA NIGUEL,ORANGE,92675,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$125,000 - $149,999",OWNER,English,N,7,55-59,English,TRABUCO CANYON,ORANGE,92679,$0.01 - $0.50,SunOnly,YW,0,TeleIn,1
"$125,000 - $149,999",OWNER,unknown,Y,3,50-54,English,SAN JUAN CAPISTRANO,ORANGE,92675,$4.00 - $4.99,7Day,MM,0,VRU,0
"$  50,000 - $59,999",OWNER,Hispanic,N,6,50-54,Spanish,SANTA ANA,ORANGE,92703,$0 - $0.01,7Day,MW,0,Partner,1
"$  60,000 - $69,999",OWNER,Hispanic,N,22,55-59,Spanish,GARDEN GROVE,ORANGE,92841,$0 - $0.01,SunOnly,MM,0,Partner,0
"$  40,000 - $49,999",RENTER,Hispanic,N,13,45-49,English,SANTA ANA,ORANGE,92703,$0.01 - $0.50,7Day,FE,0,Crew,1
"$200,000 - $249,999",OWNER,Chinese,Y,9,50-54,Chinese,YORBA LINDA,ORANGE,92886,$2.00 - $2.99,Fri-Sun,FW,0,CustCall,0
"$100,000 - $124,999",OWNER,Vietnamese,N,11,65-69,English,ANAHEIM,ORANGE,92802,$2.00 - $2.99,Fri-Sun,YM,0,CustCall,0
"$300,000 - $399,999",OWNER,Swedish,N,18,65-69,English,MISSION VIEJO,ORANGE,92691,$4.00 - $4.99,7Day,MW,0,CustCall,0
"$  20,000 - $29,999",RENTER,Hispanic,N,8,35-39,Spanish,ANAHEIM,ORANGE,92805,$8.00 - $8.99,7Day,FM,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,28,60-64,English,HUNTINGTON BEACH,ORANGE,92646,$10.00 - $10.99,7Day,MW,11,CustCall,1
"$  50,000 - $59,999",OWNER,English,N,1,24 years or less,English,COSTA MESA,ORANGE,92627,$0 - $0.01,SunOnly,YM,0,Partner,0
"$200,000 - $249,999",RENTER,French,N,2,40-44,English,LADERA RANCH,ORANGE,92694,$1.00 - $1.99,SunOnly,YW,0,Crew,0
"$  30,000 - $39,999",RENTER,Hispanic,N,2,55-59,Spanish,SANTA ANA,ORANGE,92705,$2.00 - $2.99,Thu-Sun,FE,0,Crew,0
"$  90,000 - $99,999",OWNER,English,N,4,25-29,English,ORANGE,ORANGE,92864,$0.01 - $0.50,SunOnly,FM,0,Internet,1
"$100,000 - $124,999",OWNER,Hispanic,N,21,50-54,English,LA PALMA,ORANGE,90628,$0.01 - $0.50,Thu-Sun,FM,0,Partner,1
"$125,000 - $149,999",OWNER,English,N,36,65-69,English,GARDEN GROVE,ORANGE,92838,$3.00 - $3.99,SunOnly,MM,0,CustCall,1
"$  70,000 - $79,999",OWNER,Vietnamese,N,15,30-34,Vietnamese,WESTMINSTER,ORANGE,92683,$4.00 - $4.99,7Day,ME,0,Crew,0
"$300,000 - $399,999",OWNER,English,N,21,55-59,English,NEWPORT BEACH,ORANGE,92663,$2.00 - $2.99,Thu-Sun,MW,0,CustCall,0
"$  40,000 - $49,999",OWNER,English,N,22,45-49,English,PLACENTIA,ORANGE,92870,$2.00 - $2.99,7Day,MW,0,CustCall,1
"$100,000 - $124,999",OWNER,Hispanic,Y,15,45-49,English,CORONA,RIVERSIDE,92879,$0 - $0.01,SunOnly,FM,0,Partner,1
"$175,000 - $199,999",OWNER,German,N,7,60-64,English,ORANGE,ORANGE,92867,$1.00 - $1.99,SunOnly,MM,0,Internet,0
"$175,000 - $199,999",OWNER,Irish,N,32,65-69,English,MISSION VIEJO,ORANGE,92688,$10.00 - $10.99,7Day,MW,10,VRU,1
"$100,000 - $124,999",OWNER,English,N,20,55-59,English,RANCHO SANTA MARGARITA,ORANGE,92688,$0.51 - $0.99,SunOnly,FW,0,CircAdm,0
"$  50,000 - $59,999",OWNER,Hispanic,N,10,24 years or less,English,FULLERTON,ORANGE,92833,$0 - $0.01,7Day,FM,0,Partner,1
"$  50,000 - $59,999",OWNER,Hispanic,N,5,35-39,English,BREA,ORANGE,92821,$0.01 - $0.50,SunOnly,FE,0,Partner,1
"$  30,000 - $39,999",RENTER,English,N,2,35-39,English,BREA,ORANGE,92821,$0.51 - $0.99,SunOnly,YE,0,TeleOut,0
"$  80,000 - $89,999",OWNER,English,N,20,60-64,English,ANAHEIM,ORANGE,92805,$0.01 - $0.50,SunOnly,MW,0,Internet,1
"$  40,000 - $49,999",RENTER,Hispanic,N,6,35-39,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$100,000 - $124,999",OWNER,Swedish,N,1,45-49,English,ALISO VIEJO,ORANGE,92655,$0.01 - $0.50,Thu-Sun,YM,0,Internet,1
"$300,000 - $399,999",OWNER,Scottish (Scotch),N,23,65-69,English,TRABUCO CANYON,ORANGE,92679,$10.00 - $10.99,7Day,YW,1,CustCall,1
"$  30,000 - $39,999",OWNER,Hispanic,N,4,75 years or more,English,LA HABRA,ORANGE,90631,$2.00 - $2.99,SunOnly,FM,0,Internet,0
"$100,000 - $124,999",OWNER,Scottish (Scotch),N,3,45-49,English,IRVINE,ORANGE,92624,$0.01 - $0.50,SunOnly,MM,0,Partner,1
"Under $20,000",RENTER,English,N,4,45-49,English,FULLERTON,ORANGE,92831,$3.00 - $3.99,7Day,YM,0,Partner,0
"$  90,000 - $99,999",RENTER,Hispanic,N,1,30-34,Spanish,LAGUNA NIGUEL,ORANGE,92677,$4.00 - $4.99,7Day,YM,0,System,0
"$100,000 - $124,999",OWNER,German,N,23,75 years or more,English,ANAHEIM,ORANGE,92808,$4.00 - $4.99,7Day,MW,0,TeleIn,1
"$125,000 - $149,999",OWNER,Swedish,N,1,45-49,English,LADERA RANCH,ORANGE,92694,$1.00 - $1.99,SoooTFS,YW,0,TeleIn,0
"$  20,000 - $29,999",RENTER,English,N,3,75 years or more,English,BREA,ORANGE,92821,$3.00 - $3.99,7Day,MM,0,CustCall,1
"$  80,000 - $89,999",OWNER,Hispanic,N,8,45-49,English,STANTON,ORANGE,90680,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"$100,000 - $124,999",OWNER,Filipino (Philippine),Y,8,40-44,English,LOS ALAMITOS,ORANGE,90720,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$175,000 - $199,999",OWNER,Scottish (Scotch),N,3,70-74,English,ALISO VIEJO,ORANGE,92656,$0 - $0.01,SunOnly,MW,4,Partner,1
"$150,000 - $174,999",OWNER,Italian,N,19,65-69,English,DANA POINT,ORANGE,92629,$4.00 - $4.99,7Day,MW,0,Internet,0
"$100,000 - $124,999",OWNER,Irish,N,3,75 years or more,English,SAN CLEMENTE,ORANGE,92672,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$100,000 - $124,999",OWNER,Hispanic,N,23,45-49,Spanish,SANTA ANA,ORANGE,92707,$0.01 - $0.50,SunOnly,FM,0,Partner,0
"$  90,000 - $99,999",OWNER,Hispanic,N,3,35-39,English,PLACENTIA,ORANGE,92870,$0 - $0.01,SunOnly,YW,0,Partner,1
"Under $20,000",RENTER,Vietnamese,N,11,45-49,Vietnamese,WESTMINSTER,ORANGE,92683,$2.00 - $2.99,Thu-Sun,FE,0,Crew,0
"$125,000 - $149,999",OWNER,English,N,45,40-44,English,PLACENTIA,ORANGE,92870,$2.00 - $2.99,SunOnly,FM,0,CustCall,0
"$  40,000 - $49,999",RENTER,Swedish,Y,8,35-39,English,LONG BEACH,LOS ANGELES,90805,$0.01 - $0.50,SunOnly,FE,0,Crew,1
"$  70,000 - $79,999",OWNER,English,N,5,75 years or more,English,MISSION VIEJO,ORANGE,92692,$4.00 - $4.99,7Day,MM,0,TeleIn,0
"$100,000 - $124,999",OWNER,English,N,22,60-64,English,MISSION VIEJO,ORANGE,92692,$10.00 - $10.99,7Day,MW,0,Internet,1
"Under $20,000",RENTER,Hispanic,N,1,24 years or less,English,ORANGE,ORANGE,92868,$0.01 - $0.50,7Day,YM,0,Crew1,1
"$125,000 - $149,999",OWNER,English,N,23,55-59,English,BREA,ORANGE,92821,$2.00 - $2.99,7Day,MM,0,CustCall,1
"$  90,000 - $99,999",OWNER,Filipino (Philippine),N,10,50-54,English,LA PALMA,ORANGE,90621,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  80,000 - $89,999",OWNER,Italian,N,7,60-64,English,ALISO VIEJO,ORANGE,92656,$0.51 - $0.99,7Day,YM,0,RetenIn,0
"$  40,000 - $49,999",RENTER,Hispanic,Y,20,55-59,English,SANTA ANA,ORANGE,92705,$1.00 - $1.99,SunOnly,FE,0,Partner,0
"$125,000 - $149,999",OWNER,Hispanic,N,11,55-59,English,NEWPORT BEACH,ORANGE,92660,$0.01 - $0.50,SunOnly,YW,0,Partner,1
"$300,000 - $399,999",OWNER,Dutch,Y,17,50-54,English,COSTA MESA,ORANGE,92627,$4.00 - $4.99,7Day,FM,0,Crew,0
"$  70,000 - $79,999",OWNER,Hispanic,Y,14,45-49,Spanish,ANAHEIM,ORANGE,92804,$0.01 - $0.50,SunOnly,FM,0,Partner,1
"Under $20,000",RENTER,Scottish (Scotch),N,4,75 years or more,English,SEAL BEACH,ORANGE,90740,$7.00 - $7.99,7Day,ME,0,CustCall,0
"$175,000 - $199,999",OWNER,English,N,21,65-69,English,MISSION VIEJO,ORANGE,92691,$4.00 - $4.99,Thu-Sun,MW,0,TeleIn,1
"Under $20,000",RENTER,Hispanic,N,1,25-29,English,LONG BEACH,LOS ANGELES,90812,$0.01 - $0.50,7Day,FE,0,Crew,1
"$100,000 - $124,999",OWNER,African (other),N,20,50-54,English,MISSION VIEJO,ORANGE,92691,$0 - $0.01,SunOnly,MW,0,Partner,1
"$300,000 - $399,999",OWNER,Hungarian,N,15,75 years or more,English,ANAHEIM,ORANGE,92807,$0 - $0.01,SunOnly,MW,0,Partner,0
"$125,000 - $149,999",OWNER,French,N,23,65-69,English,ORANGE,ORANGE,92869,$4.00 - $4.99,7Day,MW,0,CustCall,0
"Under $20,000",OWNER,Hispanic,N,7,30-34,Spanish,ANAHEIM,ORANGE,92805,$3.00 - $3.99,THU-SUN,MM,0,Crew1,1
"$300,000 - $399,999",OWNER,Croatian,Y,17,45-49,English,SANTA ANA,ORANGE,92705,$8.00 - $8.99,7Day,FW,0,System,1
"$  40,000 - $49,999",OWNER,unknown,Y,16,50-54,English,ALISO VIEJO,ORANGE,92656,$2.00 - $2.99,SatSun,YW,0,Crew,0
"$  40,000 - $49,999",OWNER,Hispanic,N,17,45-49,English,TUSTIN,ORANGE,92780,$0.01 - $0.50,SunOnly,FM,2,Partner,1
"$  20,000 - $29,999",RENTER,Hispanic,N,2,45-49,English,HUNTINGTON BEACH,ORANGE,92648,$0.01 - $0.50,SunOnly,MW,0,Partner,1
"$  70,000 - $79,999",OWNER,Vietnamese,N,15,55-59,Vietnamese,GARDEN GROVE,ORANGE,92843,$0.01 - $0.50,SunOnly,YM,0,Partner,0
"$  50,000 - $59,999",OWNER,Hispanic,N,12,55-59,Spanish,TUSTIN,ORANGE,92780,$2.00 - $2.99,7Day,YW,0,Crew,0
"$300,000 - $399,999",OWNER,Hispanic,N,19,75 years or more,English,IRVINE,ORANGE,92611,$10.00 - $10.99,7Day,MW,0,CustCall,1
"$175,000 - $199,999",OWNER,German,N,29,55-59,English,ORANGE,ORANGE,92869,$0 - $0.01,SunOnly,YW,0,Partner,0
"$100,000 - $124,999",OWNER,English,N,1,40-44,English,GARDEN GROVE,ORANGE,92840,$1.00 - $1.99,SunOnly,MW,0,Partner,0
"$125,000 - $149,999",OWNER,German,Y,11,40-44,English,COSTA MESA,ORANGE,92627,$0.01 - $0.50,SunOnly,MW,0,Partner,0
"$  70,000 - $79,999",RENTER,unknown,N,1,30-34,English,IRVINE,ORANGE,92612,$0.01 - $0.50,SunOnly,YW,0,Internet,1
"$  30,000 - $39,999",OWNER,Hispanic,N,14,50-54,English,CORONA,RIVERSIDE,92881,$0.51 - $0.99,7Day,YW,0,TeleIn,0
"$  40,000 - $49,999",RENTER,German,N,1,25-29,English,NEWPORT BEACH,ORANGE,92663,$4.00 - $4.99,7Day,YM,0,Crew,0
"$  80,000 - $89,999",OWNER,English,N,32,65-69,English,LAGUNA HILLS,ORANGE,92653,$2.00 - $2.99,SunOnly,MM,0,Kiosk,1
"$150,000 - $174,999",OWNER,English,N,40,70-74,English,LOS ALAMITOS,ORANGE,90720,$0 - $0.01,7Day,MM,0,CircAdm,0
"Under $20,000",OWNER,Hispanic,N,35,70-74,English,SANTA ANA,ORANGE,92705,$9.00 - $9.99,7Day,FM,0,System,0
"$  60,000 - $69,999",OWNER,Hispanic,N,22,60-64,Spanish,SANTA ANA,ORANGE,92707,$0.01 - $0.50,SunOnly,MM,0,Partner,0
"$  70,000 - $79,999",OWNER,English,Y,3,65-69,English,IRVINE,ORANGE,92614,$0 - $0.01,SunOnly,FM,0,Partner,0
"$150,000 - $174,999",OWNER,French,N,16,55-59,English,HUNTINGTON BEACH,ORANGE,92647,$0.01 - $0.50,7Day,MW,0,CircAdm,0
"$300,000 - $399,999",OWNER,Irish,Y,39,65-69,English,ORANGE,ORANGE,92866,$0.01 - $0.50,7Day,MW,0,DirectMl,1
"Under $20,000",RENTER,Hispanic,N,2,30-34,Spanish,ANAHEIM,ORANGE,92802,$0 - $0.01,SunOnly,FE,0,Partner,0
"$150,000 - $174,999",OWNER,English,N,38,70-74,English,FOUNTAIN VALLEY,ORANGE,92708,$8.00 - $8.99,7Day,MW,0,CustCall,1
"$  70,000 - $79,999",OWNER,German,N,20,75 years or more,English,PLACENTIA,ORANGE,92870,$10.00 - $10.99,7Day,MM,0,CustCall,0
"$  40,000 - $49,999",OWNER,German,N,2,70-74,English,MISSION VIEJO,ORANGE,92692,$1.00 - $1.99,7Day,MM,8,CustCall,0
"$125,000 - $149,999",OWNER,Hispanic,N,22,60-64,English,ANAHEIM,ORANGE,92807,$10.00 - $10.99,7Day,FW,0,CustCall,1
"$300,000 - $399,999",OWNER,English,N,40,75 years or more,English,ORANGE,ORANGE,92868,$10.00 - $10.99,7Day,YW,25,CustCall,1
"$200,000 - $249,999",OWNER,unknown,Y,25,55-59,Vietnamese,VILLA PARK,ORANGE,92861,$0 - $0.01,SunOnly,FM,0,Partner,0
"$  70,000 - $79,999",OWNER,English,N,32,60-64,English,WHITTIER,LOS ANGELES,90610,$0 - $0.01,SunOnly,MM,0,Partner,1
"Under $20,000",RENTER,Welsh,Y,7,25-29,English,SANTA ANA,ORANGE,92706,$2.00 - $2.99,SunOnly,FE,0,TeleIn,0
"$200,000 - $249,999",OWNER,English,Y,20,50-54,English,ORANGE,ORANGE,92869,$7.00 - $7.99,7Day,YW,7,CustCall,1
"Under $20,000",RENTER,Scottish (Scotch),N,3,25-29,English,LONG BEACH,LOS ANGELES,90813,$0.01 - $0.50,Thu-Sun,FE,0,Crew,0
"$125,000 - $149,999",OWNER,Vietnamese,N,23,55-59,Vietnamese,GARDEN GROVE,ORANGE,92840,$3.00 - $3.99,THU-SUN,FM,0,Crew1,1
"$  20,000 - $29,999",OWNER,Hispanic,N,4,35-39,Spanish,SANTA ANA,ORANGE,92701,$2.00 - $2.99,Thu-Sun,YM,0,TeleIn,0
"$125,000 - $149,999",OWNER,Irish,N,31,65-69,English,ORANGE,ORANGE,92860,$0.01 - $0.50,SunOnly,FW,0,Partner,1
"$  90,000 - $99,999",OWNER,English,N,17,45-49,English,ALISO VIEJO,ORANGE,92656,$1.00 - $1.99,Thu-Sun,YM,0,CustCall,1
"$  50,000 - $59,999",OWNER,English,N,6,60-64,English,ANAHEIM,ORANGE,92806,$0 - $0.01,Thu-Sun,YM,0,Partner,1
"$125,000 - $149,999",OWNER,Hispanic,N,21,65-69,Spanish,ANAHEIM,ORANGE,92803,$0 - $0.01,7Day,YM,0,Partner,1
"$  30,000 - $39,999",RENTER,Hispanic,N,3,40-44,Spanish,HUNTINGTON BEACH,ORANGE,92647,$0 - $0.01,SunOnly,YM,0,Partner,0
"$  40,000 - $49,999",RENTER,Hispanic,N,1,45-49,English,NEWPORT BEACH,ORANGE,92660,$4.00 - $4.99,7Day,FM,0,Crew,0
"$  90,000 - $99,999",OWNER,English,N,20,50-54,English,GARDEN GROVE,ORANGE,92845,$0 - $0.01,SunOnly,MW,0,Partner,0
"$200,000 - $249,999",OWNER,Hispanic,N,17,65-69,Spanish,ARTESIA,LOS ANGELES,90701,$4.00 - $4.99,7Day,MM,0,Crew,0
"$  90,000 - $99,999",OWNER,German,N,17,75 years or more,English,ORANGE,ORANGE,92868,$2.00 - $2.99,7Day,MW,2,CustCall,1
"$100,000 - $124,999",OWNER,English,N,38,75 years or more,English,LONG BEACH,LOS ANGELES,90808,$1.00 - $1.99,7DayOL,MW,0,CircAdm,0
"$  60,000 - $69,999",RENTER,Hispanic,N,10,35-39,Spanish,SANTA ANA,ORANGE,92705,$4.00 - $4.99,7Day,MM,0,TeleIn,0
